"analysis_role","matrix","Correction","Clock","coverage_source","clock_family","included_in_inference","clock_function","TotalProbes","ProbesAvailable","missing_probe_count","PercentProbesAvailable","clock_value_nonmissing_n","eaa_resid_nonmissing_n","missing_cpg_strategy","absent_cpg_action","present_na_action","score_implication","implementation_evidence","clock_handling","exclusion_reason","matrix_probe_set_note"
"primary","Raw/pre-ComBat","Raw betas","LiverClock","LiverClock","CTS tissue-specific clock",TRUE,"CTSclocks::CTSclockAge(CTSclock = 'Liver')",424016,375717,48299,88.6091562582544,565,565,"available_cpg_glmnet_prediction_no_imputation","CTSclockAge matches clock CpGs to rownames(data.m), drops unmatched CpG rows and glmnet coefficients, updates the model dimension, and predicts on the available CpGs only.","CTSclockAge does not perform explicit NA imputation for Hep/Liver clocks; the pipeline input matrices contained no NAs after preprocessing.","CTS-clock predictions use a reduced glmnet coefficient/input matrix over available CpGs, with the retained model intercept.","Local CTSclocks 0.0.1 code path: idx <- match(ClockCpGs.v, rownames(data.m)); beta <- beta[!is.na(idx), ]; data.m <- data.m[na.omit(idx), ]; predict.glmnet(...).","Calculated with CTSclocks::CTSclockAge on the common-CpG beta matrix; absent CpGs were dropped internally.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","LiverClock","LiverClock","CTS tissue-specific clock",TRUE,"CTSclocks::CTSclockAge(CTSclock = 'Liver')",424016,375717,48299,88.6091562582544,565,565,"available_cpg_glmnet_prediction_no_imputation","CTSclockAge matches clock CpGs to rownames(data.m), drops unmatched CpG rows and glmnet coefficients, updates the model dimension, and predicts on the available CpGs only.","CTSclockAge does not perform explicit NA imputation for Hep/Liver clocks; the pipeline input matrices contained no NAs after preprocessing.","CTS-clock predictions use a reduced glmnet coefficient/input matrix over available CpGs, with the retained model intercept.","Local CTSclocks 0.0.1 code path: idx <- match(ClockCpGs.v, rownames(data.m)); beta <- beta[!is.na(idx), ]; data.m <- data.m[na.omit(idx), ]; predict.glmnet(...).","Calculated with CTSclocks::CTSclockAge on the common-CpG beta matrix; absent CpGs were dropped internally.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","PCGrimAge","PCClocks","PC clock",TRUE,"local calc_pcclocks_zenodo(); methylCIPHER::impute_DNAm(method = 'mean')",78464,76360,2104,97,565,565,"reference_mean_imputation","CpGs absent from the common beta matrix are added from PCClocks_data.qs2$imputeMissingCpGs and the matrix is then subset/reordered to the full PCClocks reference CpG vector.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","PC-clock scores are computed on the full PCClocks reference CpG vector after reference-value imputation of absent CpGs.","Project code path: calc_pcclocks_zenodo calls methylCIPHER::impute_DNAm(method = 'mean', CpGs = RData$imputeMissingCpGs, subset = TRUE).","Calculated with local PCClocks_data.qs2 wrapper after methylCIPHER reference-mean imputation to the PCClocks reference CpG set.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","PCGrimAge","PCClocks","PC clock",TRUE,"local calc_pcclocks_zenodo(); methylCIPHER::impute_DNAm(method = 'mean')",78464,76360,2104,97,565,565,"reference_mean_imputation","CpGs absent from the common beta matrix are added from PCClocks_data.qs2$imputeMissingCpGs and the matrix is then subset/reordered to the full PCClocks reference CpG vector.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","PC-clock scores are computed on the full PCClocks reference CpG vector after reference-value imputation of absent CpGs.","Project code path: calc_pcclocks_zenodo calls methylCIPHER::impute_DNAm(method = 'mean', CpGs = RData$imputeMissingCpGs, subset = TRUE).","Calculated with local PCClocks_data.qs2 wrapper after methylCIPHER reference-mean imputation to the PCClocks reference CpG set.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","PCHannum","PCClocks","PC clock",TRUE,"local calc_pcclocks_zenodo(); methylCIPHER::impute_DNAm(method = 'mean')",78464,76360,2104,97,565,565,"reference_mean_imputation","CpGs absent from the common beta matrix are added from PCClocks_data.qs2$imputeMissingCpGs and the matrix is then subset/reordered to the full PCClocks reference CpG vector.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","PC-clock scores are computed on the full PCClocks reference CpG vector after reference-value imputation of absent CpGs.","Project code path: calc_pcclocks_zenodo calls methylCIPHER::impute_DNAm(method = 'mean', CpGs = RData$imputeMissingCpGs, subset = TRUE).","Calculated with local PCClocks_data.qs2 wrapper after methylCIPHER reference-mean imputation to the PCClocks reference CpG set.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","PCHannum","PCClocks","PC clock",TRUE,"local calc_pcclocks_zenodo(); methylCIPHER::impute_DNAm(method = 'mean')",78464,76360,2104,97,565,565,"reference_mean_imputation","CpGs absent from the common beta matrix are added from PCClocks_data.qs2$imputeMissingCpGs and the matrix is then subset/reordered to the full PCClocks reference CpG vector.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","PC-clock scores are computed on the full PCClocks reference CpG vector after reference-value imputation of absent CpGs.","Project code path: calc_pcclocks_zenodo calls methylCIPHER::impute_DNAm(method = 'mean', CpGs = RData$imputeMissingCpGs, subset = TRUE).","Calculated with local PCClocks_data.qs2 wrapper after methylCIPHER reference-mean imputation to the PCClocks reference CpG set.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","PCHorvath1","PCClocks","PC clock",TRUE,"local calc_pcclocks_zenodo(); methylCIPHER::impute_DNAm(method = 'mean')",78464,76360,2104,97,565,565,"reference_mean_imputation","CpGs absent from the common beta matrix are added from PCClocks_data.qs2$imputeMissingCpGs and the matrix is then subset/reordered to the full PCClocks reference CpG vector.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","PC-clock scores are computed on the full PCClocks reference CpG vector after reference-value imputation of absent CpGs.","Project code path: calc_pcclocks_zenodo calls methylCIPHER::impute_DNAm(method = 'mean', CpGs = RData$imputeMissingCpGs, subset = TRUE).","Calculated with local PCClocks_data.qs2 wrapper after methylCIPHER reference-mean imputation to the PCClocks reference CpG set.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","PCHorvath1","PCClocks","PC clock",TRUE,"local calc_pcclocks_zenodo(); methylCIPHER::impute_DNAm(method = 'mean')",78464,76360,2104,97,565,565,"reference_mean_imputation","CpGs absent from the common beta matrix are added from PCClocks_data.qs2$imputeMissingCpGs and the matrix is then subset/reordered to the full PCClocks reference CpG vector.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","PC-clock scores are computed on the full PCClocks reference CpG vector after reference-value imputation of absent CpGs.","Project code path: calc_pcclocks_zenodo calls methylCIPHER::impute_DNAm(method = 'mean', CpGs = RData$imputeMissingCpGs, subset = TRUE).","Calculated with local PCClocks_data.qs2 wrapper after methylCIPHER reference-mean imputation to the PCClocks reference CpG set.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","PCHorvath2","PCClocks","PC clock",TRUE,"local calc_pcclocks_zenodo(); methylCIPHER::impute_DNAm(method = 'mean')",78464,76360,2104,97,565,565,"reference_mean_imputation","CpGs absent from the common beta matrix are added from PCClocks_data.qs2$imputeMissingCpGs and the matrix is then subset/reordered to the full PCClocks reference CpG vector.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","PC-clock scores are computed on the full PCClocks reference CpG vector after reference-value imputation of absent CpGs.","Project code path: calc_pcclocks_zenodo calls methylCIPHER::impute_DNAm(method = 'mean', CpGs = RData$imputeMissingCpGs, subset = TRUE).","Calculated with local PCClocks_data.qs2 wrapper after methylCIPHER reference-mean imputation to the PCClocks reference CpG set.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","PCHorvath2","PCClocks","PC clock",TRUE,"local calc_pcclocks_zenodo(); methylCIPHER::impute_DNAm(method = 'mean')",78464,76360,2104,97,565,565,"reference_mean_imputation","CpGs absent from the common beta matrix are added from PCClocks_data.qs2$imputeMissingCpGs and the matrix is then subset/reordered to the full PCClocks reference CpG vector.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","PC-clock scores are computed on the full PCClocks reference CpG vector after reference-value imputation of absent CpGs.","Project code path: calc_pcclocks_zenodo calls methylCIPHER::impute_DNAm(method = 'mean', CpGs = RData$imputeMissingCpGs, subset = TRUE).","Calculated with local PCClocks_data.qs2 wrapper after methylCIPHER reference-mean imputation to the PCClocks reference CpG set.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","PCPhenoAge","PCClocks","PC clock",TRUE,"local calc_pcclocks_zenodo(); methylCIPHER::impute_DNAm(method = 'mean')",78464,76360,2104,97,565,565,"reference_mean_imputation","CpGs absent from the common beta matrix are added from PCClocks_data.qs2$imputeMissingCpGs and the matrix is then subset/reordered to the full PCClocks reference CpG vector.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","PC-clock scores are computed on the full PCClocks reference CpG vector after reference-value imputation of absent CpGs.","Project code path: calc_pcclocks_zenodo calls methylCIPHER::impute_DNAm(method = 'mean', CpGs = RData$imputeMissingCpGs, subset = TRUE).","Calculated with local PCClocks_data.qs2 wrapper after methylCIPHER reference-mean imputation to the PCClocks reference CpG set.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","PCPhenoAge","PCClocks","PC clock",TRUE,"local calc_pcclocks_zenodo(); methylCIPHER::impute_DNAm(method = 'mean')",78464,76360,2104,97,565,565,"reference_mean_imputation","CpGs absent from the common beta matrix are added from PCClocks_data.qs2$imputeMissingCpGs and the matrix is then subset/reordered to the full PCClocks reference CpG vector.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","PC-clock scores are computed on the full PCClocks reference CpG vector after reference-value imputation of absent CpGs.","Project code path: calc_pcclocks_zenodo calls methylCIPHER::impute_DNAm(method = 'mean', CpGs = RData$imputeMissingCpGs, subset = TRUE).","Calculated with local PCClocks_data.qs2 wrapper after methylCIPHER reference-mean imputation to the PCClocks reference CpG set.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","PhenoAge","PhenoAge","methylCIPHER clock",TRUE,"methylCIPHER::calcPhenoAge(imputation = FALSE)",513,501,12,98,565,565,"available_cpg_weighted_sum_no_imputation","CpGs absent from the common beta matrix are not imputed. The methylCIPHER function matches available CpGs only, applies the corresponding published coefficients, and keeps the original intercept/age transform.","methylCIPHER rowSums(..., na.rm = TRUE) would omit NA contributions in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","Clock ages are available-CpG implementations of the published weighted formula, without refitting, reweighting, or reference-mean imputation of absent CpGs.","Local methylCIPHER 0.2.0 code path: present <- clock_CpGs %in% colnames(DNAm); betas <- DNAm[, na.omit(match(...))]; coefficients[present]; rowSums(..., na.rm = TRUE).","Calculated with methylCIPHER clock function using imputation = FALSE; absent CpGs were omitted from the weighted sum.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","PhenoAge","PhenoAge","methylCIPHER clock",TRUE,"methylCIPHER::calcPhenoAge(imputation = FALSE)",513,501,12,98,565,565,"available_cpg_weighted_sum_no_imputation","CpGs absent from the common beta matrix are not imputed. The methylCIPHER function matches available CpGs only, applies the corresponding published coefficients, and keeps the original intercept/age transform.","methylCIPHER rowSums(..., na.rm = TRUE) would omit NA contributions in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","Clock ages are available-CpG implementations of the published weighted formula, without refitting, reweighting, or reference-mean imputation of absent CpGs.","Local methylCIPHER 0.2.0 code path: present <- clock_CpGs %in% colnames(DNAm); betas <- DNAm[, na.omit(match(...))]; coefficients[present]; rowSums(..., na.rm = TRUE).","Calculated with methylCIPHER clock function using imputation = FALSE; absent CpGs were omitted from the weighted sum.",NA,"Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","GrimAgeV2","GrimAge2","methylCIPHER clock",FALSE,"methylCIPHER::calcGrimAgeV2()",1362,1022,340,75,565,0,"zero_fill_absent_cpgs","CpGs absent from the common beta matrix are added as 0-valued beta columns via methylCIPHER::impute_DNAm(CpGs = zero_cpgs(...)) before GrimAge submodel scoring.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","GrimAge submodels are scored after zero-filling CpGs not present in the common matrix.","Local methylCIPHER 0.2.0 code path: calcGrimAgeV1/V2 calls impute_DNAm(method = 'mean', CpGs = zero_cpgs(CpGs_GrimAge1/2), subset = TRUE).","Calculated with methylCIPHER GrimAge function; absent GrimAge CpGs were added as 0-valued beta columns internally.","Calculated for audit context but excluded from curated EAA inference to keep the main clock panel fixed to the predefined 12 clocks.","Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","GrimAgeV2","GrimAge2","methylCIPHER clock",FALSE,"methylCIPHER::calcGrimAgeV2()",1362,1022,340,75,565,0,"zero_fill_absent_cpgs","CpGs absent from the common beta matrix are added as 0-valued beta columns via methylCIPHER::impute_DNAm(CpGs = zero_cpgs(...)) before GrimAge submodel scoring.","methylCIPHER::impute_DNAm would mean-impute NA values in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","GrimAge submodels are scored after zero-filling CpGs not present in the common matrix.","Local methylCIPHER 0.2.0 code path: calcGrimAgeV1/V2 calls impute_DNAm(method = 'mean', CpGs = zero_cpgs(CpGs_GrimAge1/2), subset = TRUE).","Calculated with methylCIPHER GrimAge function; absent GrimAge CpGs were added as 0-valued beta columns internally.","Calculated for audit context but excluded from curated EAA inference to keep the main clock panel fixed to the predefined 12 clocks.","Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"primary","Raw/pre-ComBat","Raw betas","HRSInChPhenoAge","HRSInCHPhenoAge","methylCIPHER clock",FALSE,"methylCIPHER::calcHRSInChPhenoAge(imputation = FALSE)",959,922,37,96,565,0,"available_cpg_weighted_sum_no_imputation","CpGs absent from the common beta matrix are not imputed. The methylCIPHER function matches available CpGs only, applies the corresponding published coefficients, and keeps the original intercept/age transform.","methylCIPHER rowSums(..., na.rm = TRUE) would omit NA contributions in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","Clock ages are available-CpG implementations of the published weighted formula, without refitting, reweighting, or reference-mean imputation of absent CpGs.","Local methylCIPHER 0.2.0 code path: present <- clock_CpGs %in% colnames(DNAm); betas <- DNAm[, na.omit(match(...))]; coefficients[present]; rowSums(..., na.rm = TRUE).","Clock value calculated but residual EAA was not included in the curated inferential clock panel.","Calculated for audit context but excluded from curated EAA inference because the installed package did not provide a resolved bibliographic source for citation.","Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
"sensitivity","ComBat","ComBat betas","HRSInChPhenoAge","HRSInCHPhenoAge","methylCIPHER clock",FALSE,"methylCIPHER::calcHRSInChPhenoAge(imputation = FALSE)",959,922,37,96,565,0,"available_cpg_weighted_sum_no_imputation","CpGs absent from the common beta matrix are not imputed. The methylCIPHER function matches available CpGs only, applies the corresponding published coefficients, and keeps the original intercept/age transform.","methylCIPHER rowSums(..., na.rm = TRUE) would omit NA contributions in present CpGs; the pipeline input matrices contained no NAs after preprocessing.","Clock ages are available-CpG implementations of the published weighted formula, without refitting, reweighting, or reference-mean imputation of absent CpGs.","Local methylCIPHER 0.2.0 code path: present <- clock_CpGs %in% colnames(DNAm); betas <- DNAm[, na.omit(match(...))]; coefficients[present]; rowSums(..., na.rm = TRUE).","Clock value calculated but residual EAA was not included in the curated inferential clock panel.","Calculated for audit context but excluded from curated EAA inference because the installed package did not provide a resolved bibliographic source for citation.","Raw/pre-ComBat and ComBat matrices share the same common-CpG row set, so coverage counts should match across matrices."
