cpg,gene_genomic_context,statistical_rank,candidate_priority_score,robust_contrasts,tier1_contrasts,tier2_contrasts,tier3_contrasts,same_direction_contrasts,max_n_datasets,best_fdr,best_neg_log10_fdr,mean_i2,min_i2,strongest_contrast,strongest_supported_contrast,top_random_effect,top_effect_direction,max_abs_meta_effect,strict_internal_support_subset,likely_dataset_sensitive,priority_label,best_nonzero_folds,all5_any_run,r2_disease_group,r2_dataset,disease_r2_after_dataset,dataset_warning,UCSC_RefGene_Name,chr,pos,Relation_to_Island,UCSC_RefGene_Group,Regulatory_Feature_Group,Enhancer,DHS,DMR
cg02246928,intergenic/no-gene,11,105.10900977445674,4,4,0,0,4,6,8.670818919696251e-36,35.06193988343385,48.68696287893934,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.11772581010658892,lower methylation in case/higher stage,0.11838557338454148,TRUE,FALSE,stage_and_binary_all5,5,TRUE,0.3732759107273093,0.23334524429457812,0.22306912226819375,none,NA,chr6,144586678,OpenSea,NA,NA,TRUE,NA,NA
cg21519787,SPHK2,12,103.27623325540652,4,3,1,0,3,6,1.876972597072709e-50,49.7265420678299,50.646923841488345,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.16064387990955678,higher methylation in case/higher stage,0.16064387990955678,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.27628011866723645,0.07196513738474306,0.2489347745041535,high_heterogeneity,SPHK2,chr19,49133421,Island,3'UTR,Gene_Associated,NA,TRUE,RDMR
cg07156249,PSMB9/TAP1,13,102.1169951971038,4,4,0,0,4,6,8.562938906323176e-41,40.0673771545116,58.6033762210862,9.790698210009351,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.14689639820689915,lower methylation in case/higher stage,0.14689639820689915,FALSE,FALSE,stage_all5,5,TRUE,0.38963129721511447,0.21453526016878807,0.2862374033351289,high_heterogeneity,PSMB9;PSMB9;TAP1,chr6,32822911,S_Shore,Body;Body;TSS1500,NA,NA,NA,NA
cg02033582,intergenic/no-gene,14,101.39311245598287,4,4,0,0,4,6,1.7815010724437968e-29,28.74921391187245,34.626745646556564,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.12014445616688114,lower methylation in case/higher stage,0.1523885878701629,TRUE,FALSE,stage_and_binary_all5,6,TRUE,0.42605972085195304,0.3068902095729439,0.1971671702946296,none,NA,chr17,29394814,OpenSea,NA,NA,TRUE,TRUE,NA
cg18680181,PRORP,15,101.08594546783748,4,4,0,0,4,6,2.537356381324136e-29,28.595618530187537,38.61975006587561,0.33419878202734654,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.11797932090530648,lower methylation in case/higher stage,0.13349822703205114,TRUE,FALSE,stage_and_binary_all5,6,TRUE,0.3265174492924324,0.21983542646052096,0.1933659033253312,none,KIAA0391,chr14,35629311,OpenSea,Body,Unclassified_Cell_type_specific,TRUE,TRUE,NA
cg10732871,GPX4,16,100.09324588428052,4,4,0,0,4,6,3.5222979210224633e-43,42.453173913563475,62.479517104278,21.646552112662548,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.1873733638256028,lower methylation in case/higher stage,0.1873733638256028,FALSE,FALSE,stable_secondary,4,FALSE,0.3935854094432451,0.14654331951601343,0.35562300451981776,high_heterogeneity,GPX4;GPX4,chr19,1102675,N_Shore,TSS1500;TSS1500,Unclassified_Cell_type_specific,NA,TRUE,NA
cg20303075,intergenic/no-gene,17,99.34459120619302,4,3,1,0,4,6,1.077321028249925e-40,39.96765486306917,52.655343959107995,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.1284622973762704,lower methylation in case/higher stage,0.1284622973762704,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.3708854192782847,0.2564666392318511,0.1900530747539144,high_heterogeneity,NA,chr8,80804323,Island,NA,NA,NA,NA,NA
cg26027052,intergenic/no-gene,18,98.13613976800411,4,4,0,0,4,6,6.764803215826755e-40,39.169744832255354,55.65363229149255,9.415016426242955,disease_vs_healthy,Disease vs healthy,-0.1439865778731744,lower methylation in case/higher stage,0.14769842857449386,FALSE,FALSE,stable_secondary,4,FALSE,0.3143759165410431,0.14559276070179494,0.2619665353528448,high_heterogeneity,NA,chr6,36821364,OpenSea,NA,NA,TRUE,NA,NA
cg00225623,SPATA13,19,97.94170850037204,4,3,1,0,3,6,8.55689230511968e-51,50.06768393389672,51.16582999255913,0,fibrosis_vs_nonfibrosis,Fibrosis vs non-fibrosis,-0.1521123309987829,lower methylation in case/higher stage,0.17478478016110924,FALSE,FALSE,stable_secondary,4,FALSE,0.29761193549969284,0.17322603837447434,0.25046547318531287,high_heterogeneity,SPATA13;SPATA13,chr13,24845891,OpenSea,Body;Body,Promoter_Associated,TRUE,TRUE,RDMR
cg09072216,SPART,20,96.73241410092427,4,4,0,0,4,6,6.0146470304549914e-37,36.22078985414685,42.44277593957035,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.140762091980567,lower methylation in case/higher stage,0.140762091980567,FALSE,FALSE,stable_secondary,6,FALSE,0.2552218871460468,0.1381807570229424,0.20710772247246367,none,SPG20;SPG20;SPG20;SPG20,chr13,36919344,N_Shore,5'UTR;5'UTR;5'UTR;5'UTR,NA,NA,NA,CDMR
cg25305879,intergenic/no-gene,21,96.627813305566,4,4,0,0,4,6,5.09629895402733e-28,27.29274510377391,29.542165341514888,0,disease_vs_healthy,Disease vs healthy,-0.08683187512064211,lower methylation in case/higher stage,0.09654719603603844,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.39157329729356966,0.3280171057571276,0.13619720470314672,none,NA,chr2,106814630,S_Shelf,NA,NA,TRUE,TRUE,NA
cg16351569,intergenic/no-gene,22,95.40461359033318,3,3,0,0,3,6,1.1851112865675906e-65,64.92624086579488,51.90772819333633,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.1627848698619138,lower methylation in case/higher stage,0.1627848698619138,FALSE,FALSE,stage_replicated_all5,6,TRUE,0.4018204983716507,0.26542793815804083,0.24107402010662576,high_heterogeneity,NA,chr17,43448493,N_Shore,NA,Unclassified_Cell_type_specific,NA,NA,NA
cg13750566,intergenic/no-gene,23,94.9071514515027,4,4,0,0,4,6,7.232086580094475e-26,25.140736383274923,33.82728033579484,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.13161445222656343,higher methylation in case/higher stage,0.13161445222656343,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.23773903277824457,0.09565652367217846,0.22658065444643,none,NA,chr9,92222745,S_Shore,NA,NA,NA,NA,NA
cg02439266,HOXA3,24,94.46032279197472,4,4,0,0,4,6,6.1266103054985e-25,24.21277974290193,29.77246056113268,0,disease_vs_healthy,Disease vs healthy,0.10546975737684625,higher methylation in case/higher stage,0.10546975737684625,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.1538756368811096,0.07645213762018933,0.1349787680884979,none,HOXA3;HOXA3;HOXA3,chr7,27150042,Island,5'UTR;Body;Body,NA,TRUE,NA,NA
cg25792518,ACSF2/CHAD,25,93.94050820585568,3,3,0,0,3,6,1.0529092598367929e-50,49.9776090548831,40.87636265124936,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.13490333650263198,higher methylation in case/higher stage,0.13490333650263198,FALSE,FALSE,stage_all5,5,TRUE,0.28626672621681987,0.08179983955396095,0.26447884076278916,none,ACSF2;CHAD,chr17,48545950,Island,Body;1stExon,NA,TRUE,NA,NA
cg13052638,intergenic/no-gene,26,93.22658003250366,4,4,0,0,4,6,1.546576965750399e-19,18.810628462360473,58.817197822973185,40.67644012780784,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.16883633456969488,lower methylation in case/higher stage,0.16883633456969488,TRUE,FALSE,stage_and_binary_all5,5,TRUE,0.4271178868250825,0.15715435729519514,0.34230551032014356,high_heterogeneity,NA,chr1,206677719,N_Shelf,NA,Unclassified_Cell_type_specific,NA,TRUE,NA
cg04807036,intergenic/no-gene,27,90.72719830653756,3,3,0,0,3,6,3.5812472605171675e-46,45.44596569290291,41.69955356988979,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.15775896100592005,higher methylation in case/higher stage,0.15775896100592005,FALSE,FALSE,stage_all5,5,TRUE,0.26051109896142155,0.05362739667402836,0.246223022562953,none,NA,chr6,33681788,S_Shelf,NA,NA,NA,NA,NA
cg06686742,CERS4,28,90.1851767733916,3,3,0,0,3,6,4.752894107819695e-41,40.32304186146831,20.819050592724334,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.12231953226563148,higher methylation in case/higher stage,0.12231953226563148,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.2099535445487073,0.06880402052023599,0.19048025896924276,none,LASS4,chr19,8273505,N_Shore,TSS1500,NA,NA,NA,NA
cg24249925,DDR2,29,89.45440459584961,4,4,0,0,4,6,1.513872923683423e-11,10.819910578507876,22.3906561821182,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.0965270937245546,higher methylation in case/higher stage,0.1048946560100448,TRUE,FALSE,stage_and_binary_all5,5,TRUE,0.0972381082715824,0.0475948529630988,0.07598433779898624,none,DDR2;DDR2,chr1,162702571,OpenSea,Body;Body,NA,TRUE,NA,NA
cg24921221,LONRF1,30,89.13945165008299,4,4,0,0,4,6,2.4818783955454416e-20,19.605219501418023,71.68404001819263,54.43199416969931,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.2383826451349013,lower methylation in case/higher stage,0.2383826451349013,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.4435024479414516,0.11881026700695552,0.41150493359511464,high_heterogeneity,LONRF1,chr8,12584192,OpenSea,Body,NA,TRUE,NA,NA
cg00639517,MGMT,31,88.73017493244686,3,3,0,0,3,6,4.493829691006268e-34,33.34738339067473,32.259868820509034,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.17204562361648132,higher methylation in case/higher stage,0.17204562361648132,TRUE,FALSE,stage_and_binary_all5,6,TRUE,0.2805010241140965,0.0397556551342679,0.24538791205667307,none,MGMT,chr10,131505762,OpenSea,Body,NA,NA,NA,NA
cg19718309,intergenic/no-gene,32,87.94220767128088,4,4,0,0,4,6,8.859419452535554e-15,14.052594735993418,17.89217287829031,0,disease_vs_healthy,Disease vs healthy,-0.08085672826942195,lower methylation in case/higher stage,0.10107785662989235,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.13211113744948283,0.06329527269750211,0.12237225856002087,none,NA,chr14,100632904,OpenSea,NA,Unclassified,TRUE,TRUE,NA
cg00079169,THOP1,33,87.18768862195736,3,2,1,0,2,6,3.419414819775824e-77,76.46604821040209,56.24622756085262,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.24713074262810028,higher methylation in case/higher stage,0.24713074262810028,FALSE,FALSE,stage_replicated_all5,6,TRUE,0.3890575273697517,0.01675413954127842,0.38662239069124815,high_heterogeneity,THOP1,chr19,2811669,Island,Body,NA,NA,NA,NA
cg04231636,KDM1B,34,87.12811086635362,3,3,0,0,3,6,3.5812472605171675e-46,45.44596569290291,43.68130237356841,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.1722203869761165,higher methylation in case/higher stage,0.1722203869761165,FALSE,FALSE,stable_secondary,4,FALSE,0.28186518341024824,0.02862666220426987,0.25825833192294817,none,KDM1B,chr6,18186411,OpenSea,Body,NA,TRUE,NA,NA
cg20901787,ASPSCR1,35,86.01802237590174,3,3,0,0,3,6,5.337051696931952e-43,42.27269859041666,21.457332747798517,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.11700139695637486,higher methylation in case/higher stage,0.11700139695637486,FALSE,FALSE,stable_secondary,4,FALSE,0.2122831063249305,0.06644570948606204,0.19081068184687736,none,ASPSCR1,chr17,79936477,S_Shore,Body,NA,NA,NA,NA
cg05033369,FCRLA,36,85.48722226240744,4,4,0,0,4,6,6.22140500586467e-23,22.206111525696898,71.14111611160759,52.23570745565789,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.17463444961915175,lower methylation in case/higher stage,0.17463444961915175,FALSE,FALSE,stable_secondary,4,FALSE,0.4018566201164888,0.15038398406168998,0.3645265723446801,high_heterogeneity,FCRLA,chr1,161676469,OpenSea,TSS1500,NA,TRUE,TRUE,NA
cg08608952,CDC42,37,85.38092881701736,4,4,0,0,4,6,1.199843935890722e-12,11.920875239110067,39.27367700719378,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.07944476244413234,lower methylation in case/higher stage,0.09222176411196548,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.2935665363598693,0.24679482052194512,0.0994439358028904,none,CDC42;CDC42;CDC42,chr1,22383198,S_Shelf,5'UTR;5'UTR;5'UTR,NA,NA,NA,NA
cg27508753,EFHD1,38,85.10400140202033,4,4,0,0,4,6,5.057903562390414e-21,20.296029455482117,52.064384336343,29.890258853252217,disease_vs_healthy,Disease vs healthy,0.18543408284725316,higher methylation in case/higher stage,0.18936682277897535,FALSE,FALSE,stable_secondary,4,FALSE,0.28942449926580216,0.02375832300707314,0.2760278635751221,high_heterogeneity,EFHD1,chr2,233495279,N_Shelf,Body,NA,NA,NA,NA
cg06474225,HTRA1,39,84.5526791056961,4,4,0,0,4,6,6.003079703394272e-21,20.221625890441473,62.04918035225864,31.194189446729904,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.16083829310969375,lower methylation in case/higher stage,0.16083829310969375,FALSE,FALSE,stable_secondary,4,FALSE,0.3607976186572299,0.17028388780544054,0.2953245009932455,high_heterogeneity,HTRA1,chr10,124228770,OpenSea,Body,NA,TRUE,TRUE,CDMR
cg19543317,JDP2,40,84.41650203173151,4,4,0,0,4,6,7.848995643062474e-12,11.105185911991288,7.142562133247757,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.10132981601829465,higher methylation in case/higher stage,0.10132981601829465,FALSE,FALSE,stage_all5,5,TRUE,0.15466991200815797,0.13734331018070553,0.08284108928015571,none,JDP2;JDP2;JDP2;JDP2,chr14,75918155,OpenSea,Body;Body;Body;Body,NA,TRUE,NA,NA
cg12101256,KCNT2,41,84.39153711301444,3,3,0,0,3,6,4.0660625929632176e-42,41.39082594011773,41.64082090135935,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.13671838453298318,higher methylation in case/higher stage,0.13671838453298318,FALSE,FALSE,stable_secondary,4,FALSE,0.3621137741327085,0.1918481912140484,0.21190832509014307,none,KCNT2,chr1,196547408,OpenSea,Body,NA,TRUE,NA,NA
cg02289739,MKLN1,42,84.11847403241774,4,3,1,0,4,6,7.115267427953191e-28,27.147808772276573,67.69984216351732,29.2378243971191,advanced_vs_nonadvanced,Advanced vs non-advanced,0.2122082673802524,higher methylation in case/higher stage,0.2122082673802524,FALSE,FALSE,stable_secondary,4,FALSE,0.44853254763970657,0.07083833929564529,0.39421695833227766,high_heterogeneity,MKLN1;MKLN1,chr7,131156554,OpenSea,Body;Body,NA,TRUE,NA,NA
cg24207161,TIAM2,43,83.34473768936624,4,4,0,0,4,6,2.0174057324338396e-8,7.695206749463534,20.838140705164783,0,fibrosis_vs_nonfibrosis,Fibrosis vs non-fibrosis,-0.06935942973058433,lower methylation in case/higher stage,0.08265656238744554,FALSE,FALSE,stage_replicated_all5,6,TRUE,0.20922166978225917,0.18106618846449887,0.06379440673451431,none,TIAM2,chr6,155464712,OpenSea,Body,Promoter_Associated_Cell_type_specific,NA,NA,NA
cg07780694,SCLY,44,83.27791639965696,4,3,1,0,3,6,1.739874056709208e-15,14.759482187611548,41.074422633422586,0,fibrosis_vs_nonfibrosis,Fibrosis vs non-fibrosis,0.10073556054554304,higher methylation in case/higher stage,0.10073556054554304,TRUE,FALSE,stage_and_binary_all5,6,TRUE,0.182722838812499,0.08713336690702746,0.13941753486585284,none,SCLY,chr2,238990408,OpenSea,Body,NA,NA,NA,NA
cg00692780,EPHA4,45,82.55872735781605,4,4,0,0,4,6,2.2073060944127567e-9,8.656137437614648,60.01137697028398,32.93264830577461,progression_score,Ordinal progression score,0.06405081568599337,higher methylation in case/higher stage,0.11333448620956715,TRUE,FALSE,stage_and_binary,6,FALSE,0.3097849077239178,0.08663182005982026,0.2358289790913528,high_heterogeneity,EPHA4,chr2,222434778,N_Shore,Body,NA,NA,NA,NA
cg03536711,LOC400804,46,82.35934112751751,4,4,0,0,4,6,4.6135531910931203e-8,7.335964467907435,35.51668000035401,0,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.05337468416920276,lower methylation in case/higher stage,0.08080533044220256,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.3786434920872372,0.37118334391879254,0.09026937023988152,none,LOC400804,chr1,221509067,OpenSea,Body,NA,TRUE,NA,NA
cg09449150,intergenic/no-gene,47,82.32861897958279,4,4,0,0,4,6,6.649804334860783e-16,15.177191133274404,35.90829627418587,0,disease_vs_healthy,Disease vs healthy,-0.0657891904165636,lower methylation in case/higher stage,0.08722984379265845,FALSE,FALSE,stable_secondary,4,FALSE,0.3659647485403431,0.344614890510758,0.09399276354718572,none,NA,chr11,129731815,OpenSea,NA,NA,TRUE,TRUE,NA
cg06890813,LOC100131726/FAM83A,48,81.55999979397235,4,3,1,0,3,6,7.242061294052266e-11,10.140137803800142,10.761933373754914,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.07791214687677062,higher methylation in case/higher stage,0.07791214687677062,TRUE,FALSE,stage_and_binary_all5,5,TRUE,0.16552465753025641,0.11539481684650028,0.08102400213797487,none,LOC100131726;FAM83A;FAM83A,chr8,124214953,OpenSea,Body;Body;Body,NA,NA,TRUE,NA
cg03157698,GPAM,49,81.22925166112746,4,3,1,0,3,6,3.244717455337114e-17,16.488823114866822,26.258490385586196,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.09836982217666206,higher methylation in case/higher stage,0.09836982217666206,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.19825186637257977,0.14991455216592764,0.10211627444198428,none,GPAM,chr10,113943648,Island,TSS200,Promoter_Associated_Cell_type_specific,NA,NA,NA
cg23045908,PDE4B,50,81.15647395938953,4,4,0,0,4,6,1.1910522843506936e-8,7.924069173608237,67.80748924272473,49.76046608625763,advanced_vs_nonadvanced,Advanced vs non-advanced,-0.17492535583982938,lower methylation in case/higher stage,0.17492535583982938,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.2812010013950979,0.1281753669146243,0.222713672543728,high_heterogeneity,PDE4B;PDE4B;PDE4B;PDE4B,chr1,66799419,OpenSea,Body;Body;Body;Body,Promoter_Associated_Cell_type_specific,TRUE,NA,NA
cg13814654,TBC1D8,51,80.92763590048747,4,3,1,0,4,6,7.777077751296428e-11,10.109183559166231,82.975851818577965,73.9562361100781,progression_score,Ordinal progression score,0.09056557406637288,higher methylation in case/higher stage,0.15154654298228237,FALSE,FALSE,stage_and_binary_all5,5,TRUE,0.48005339615980447,0.07022227771474339,0.4396579560513763,high_heterogeneity,TBC1D8,chr2,101666894,OpenSea,Body,NA,NA,NA,NA
cg19709146,FNBP4,52,80.8776041406113,4,4,0,0,4,6,2.431571036519285e-12,11.614113038323772,15.045499724306794,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.10085830407192654,higher methylation in case/higher stage,0.10321011287664592,FALSE,FALSE,stable_secondary,4,FALSE,0.1913805063149174,0.15037113308058975,0.095296627007892,none,FNBP4,chr11,47745115,OpenSea,Body,NA,TRUE,NA,NA
cg10051724,intergenic/no-gene,53,80.2169043997057,4,3,1,0,3,6,5.3040215116994264e-12,11.275394723216891,53.5174381309225,7.879831777813713,progression_score,Ordinal progression score,0.04453962429673807,higher methylation in case/higher stage,0.09892192856483507,TRUE,FALSE,stage_and_binary_all5,5,TRUE,0.24168584986809188,0.19173385729881395,0.14004773996589517,high_heterogeneity,NA,chr7,158752437,Island,NA,NA,NA,NA,NA
cg09919917,intergenic/no-gene,54,79.77652706006556,3,3,0,0,3,6,1.202663739944601e-21,20.91985578271849,37.34743975674751,0,progression_score,Ordinal progression score,0.04925830001014945,higher methylation in case/higher stage,0.11161597515370351,TRUE,FALSE,stage_and_binary_all5,6,TRUE,0.1626306432171177,0.0645142496618942,0.15414139475601782,none,NA,chr2,242834074,S_Shore,NA,NA,TRUE,NA,NA
cg26052377,KALRN,55,79.73367889819126,3,3,0,0,3,6,1.5727434104647472e-26,25.80334212576133,26.573211796833615,0,advanced_vs_nonadvanced,Advanced vs non-advanced,0.1500633722054399,higher methylation in case/higher stage,0.1500633722054399,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.23678199852432377,0.09711801488833972,0.1911423871461612,none,KALRN;KALRN,chr3,124356493,OpenSea,Body;Body,NA,TRUE,NA,NA
cg18432877,HELZ,56,79.52703168730542,3,3,0,0,3,6,1.5814862197596935e-34,33.80093458794579,62.67245048513239,25.107608445045333,advanced_vs_nonadvanced,Advanced vs non-advanced,0.1662812106334412,higher methylation in case/higher stage,0.1662812106334412,FALSE,FALSE,stable_secondary,5,TRUE,0.5468751799977489,0.3542329990723231,0.2762185018508434,high_heterogeneity,HELZ,chr17,65190638,OpenSea,Body,NA,TRUE,NA,NA
cg04898035,MTUS1,57,78.93185996957452,3,3,0,0,3,6,2.756207467108187e-26,25.55968809502672,39.19843393888398,6.428570688755839,advanced_vs_nonadvanced,Advanced vs non-advanced,0.18913723791594855,higher methylation in case/higher stage,0.18913723791594855,FALSE,FALSE,stage_replicated_all5,5,TRUE,0.2554819730336352,0.09107419287631238,0.20329581073353584,none,MTUS1;MTUS1,chr8,17640624,OpenSea,5'UTR;5'UTR,NA,TRUE,NA,NA
cg05845376,SLC25A2,58,78.6644028875435,4,4,0,0,4,6,1.0181530525371131e-10,9.992186932337118,36.602559301849865,14.08843702019652,disease_vs_healthy,Disease vs healthy,0.08540657638986965,higher methylation in case/higher stage,0.09382198392057464,FALSE,FALSE,stable_secondary,4,FALSE,0.14389532016241974,0.12951614809576398,0.13531658008339223,none,SLC25A2,chr5,140683632,Island,TSS200,NA,NA,NA,NA
cg23340345,EFHD1,59,78.60304115140987,4,4,0,0,4,6,1.2052721945996193e-12,11.91891486241422,64.80398504560156,53.1508557236255,advanced_vs_nonadvanced,Advanced vs non-advanced,0.14297280866644776,higher methylation in case/higher stage,0.14297280866644776,FALSE,FALSE,stable_secondary,4,FALSE,0.3988431099160245,0.19373502097283615,0.2852883994815989,high_heterogeneity,EFHD1;EFHD1,chr2,233501672,S_Shore,Body;Body,Unclassified_Cell_type_specific,NA,NA,NA
cg06734985,intergenic/no-gene,60,78.47124443626836,4,4,0,0,4,6,1.361807970974041e-10,9.865884128125138,38.697489068384634,0,fibrosis_vs_nonfibrosis,Fibrosis vs non-fibrosis,-0.07332293324760987,lower methylation in case/higher stage,0.11839468213208812,FALSE,FALSE,stable_secondary,4,FALSE,0.3970826715972557,0.3968961886396235,0.10400446491314008,none,NA,chr11,26849501,OpenSea,NA,NA,TRUE,NA,NA
