statistical_rank,cpg,candidate_priority_score,robust_contrasts,tier1_contrasts,tier2_contrasts,tier3_contrasts,same_direction_contrasts,max_n_datasets,all_datasets_seen,best_fdr,best_neg_log10_fdr,max_abs_meta_effect,mean_i2,min_i2,strongest_contrast,top_random_effect,top_effect_direction,robust_contrast_summary,evidence_outcomes,evidence_runs,priority_label,best_nonzero_folds,all5_any_run,max_mean_abs_coefficient,likely_dataset_sensitive,r2_disease_group,r2_dataset,disease_r2_after_dataset,model_priority_score,dataset_warning,has_snp_annotation,evidence_tier,strict_subset_membership,direction_consistency,original_annotation,UCSC_RefGene_Name,current_gene_symbol,current_gene_aliases,gene_symbol_mapping_source,chromosome,genomic_position_hg19,MAPINFO,strand,UCSC_RefGene_Group,gene_region_annotation,UCSC_RefGene_Accession,Relation_to_UCSC_CpG_Island,CpG_island_name,Regulatory_Feature_Name,Regulatory_Feature_Group,Enhancer,DHS,DMR,HMM_Island,Phantom,nearby_regulatory_annotation,annotation_source,in_450k_annotation,in_epic_annotation,Probe_rs,Probe_maf,CpG_rs,CpG_maf,SBE_rs,SBE_maf,nearest_gene,nearest_gene_entrez,nearest_tss_transcript_id,nearest_tss_chr,nearest_tss_position,nearest_tss_strand,nearest_tss_distance,nearest_tss_orientation,biological_evidence_class,human_masld_evidence,human_liver_fibrosis_evidence,experimental_masld_evidence,experimental_liver_fibrosis_evidence,hepatic_metabolism_evidence,evidence_directness,evidence_source_1,evidence_source_2,evidence_source_3,literature_note,final_interpretation_priority,include_in_interpretation_panel,selection_reason,gene_or_genomic_context,interpretation_label,gene_genomic_context
11,cg02246928,105.10900977445674,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,8.670818919696251e-36,35.06193988343385,0.11838557338454148,48.68696287893934,0,advanced_vs_nonadvanced,-0.11772581010658892,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.118, FDR=8.67e-36, I2=0.0 | disease_vs_healthy: -0.118, FDR=6.21e-13, I2=54.1 | fibrosis_vs_nonfibrosis: -0.106, FDR=1.31e-03, I2=50.1 | progression_score: -0.092, FDR=4.60e-04, I2=90.6",binary_healthy_vs_disease_no_healthy_obese;disease_group_3;disease_group_3_no_healthy_obese;disease_group_4;disease_group_4_no_healthy_obese;disease_group_5_obesity_split,binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso;disease_group_3_cpg_only_loso;disease_group_3_no_healthy_obese_cpg_only_loso;disease_group_4_cpg_only_loso;disease_group_4_no_healthy_obese_cpg_only_loso;disease_group_5_obesity_split_cpg_only_loso,stage_and_binary_all5,5,TRUE,0.8521665599635486,FALSE,0.3732759107273093,0.23334524429457812,0.22306912226819375,5,none,FALSE,tier1_consistent_low_dataset_signal,TRUE,1,NA,NA,NA,NA,NA,chr6,144586678,144586678,+,NA,NA,NA,OpenSea,NA,NA,NA,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,UTRN,7402,ENST00000367545.8_4,chr6,144606471,+,19792,upstream,U,No CpG- or UTRN-specific human MASLD evidence identified.,No convincing UTRN-specific liver-fibrosis evidence identified.,No experimental MASLD evidence identified.,No experimental liver-fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic enhancer ~19.8 kb from UTRN; no evidence links this CpG to UTRN regulation.,NA,NA,NA,The locus is a strict-subset signal but lacks a convincing liver/MASLD mechanistic annotation.,NA,FALSE,Not selected because the nearest-gene relationship is distant and biologically unsupported.,intergenic/no-gene; near UTRN,NA,intergenic/no-gene
12,cg21519787,103.27623325540652,4,3,1,0,3,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,1.876972597072709e-50,49.7265420678299,0.16064387990955678,50.646923841488345,0,advanced_vs_nonadvanced,0.16064387990955678,higher methylation in case/higher stage,"advanced_vs_nonadvanced: +0.161, FDR=1.88e-50, I2=0.0 | disease_vs_healthy: +0.108, FDR=1.22e-04, I2=78.7 | fibrosis_vs_nonfibrosis: +0.119, FDR=1.15e-02, I2=59.7 | progression_score: +0.078, FDR=5.07e-07, I2=64.2",disease_group_3;disease_group_3_no_healthy_obese;disease_group_4;disease_group_4_no_healthy_obese,disease_group_3_cpg_only_loso;disease_group_3_no_healthy_obese_cpg_only_loso;disease_group_4_cpg_only_loso;disease_group_4_no_healthy_obese_cpg_only_loso,stage_replicated_all5,5,TRUE,0.492968696633017,FALSE,0.27628011866723645,0.07196513738474306,0.2489347745041535,3,high_heterogeneity,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,SPHK2,SPHK2,SPHK2,SK 2;SK-2;SPHK2;SPK 2;SPK-2,org.Hs.eg.db:SYMBOL,chr19,49133421,49133421,-,3'UTR,3'UTR,NM_020126,Island,chr19:49132603-49134291,19:49133377-49134426,Gene_Associated,NA,TRUE,RDMR,19:53824332-53825752,NA,Regulatory_Feature_Group=Gene_Associated; Regulatory_Feature_Name=19:49133377-49134426; Enhancer=NA; DHS=TRUE; DMR=RDMR,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,Yes — reduced hepatic SPHK2 expression/protein has been reported in human MASH/MASLD liver.,Human fibrosis-specific causality is not established; MASH tissue evidence and experimental fibrosis support are available.,"Yes — SphK2 depletion worsened redox dysregulation, lipid accumulation and inflammation in diet-induced MASH; additional hepatocyte gain/loss studies support protection from steatosis.",Yes — SphK2 depletion increased fibrosis in a diet-induced MASH model.,"Yes — sphingolipid/redox metabolism, VLDL secretion, autophagy and ATGL-dependent triglyceride homeostasis.","Direct SPHK2 3'UTR annotation. Evidence is gene-level; no functional methylation-to-SPHK2 relationship for cg21519787 is established. Some pharmacologic/genetic literature is context-dependent, so directional claims should be cautious.",https://pubmed.ncbi.nlm.nih.gov/39773902/,https://pubmed.ncbi.nlm.nih.gov/40200091/,https://pubmed.ncbi.nlm.nih.gov/41804573/,"SPHK2 has direct human MASLD/MASH liver evidence and multiple mechanistic studies linking it to triglyceride handling, VLDL secretion, redox balance, inflammation and fibrosis. Across studies, gene function appears protective in several genetic models, although sphingolipid-pathway effects can be context dependent.",2,TRUE,"Selected because it combines direct gene annotation, strong statistical support and unusually broad, direct human and experimental MASLD/MASH evidence.",SPHK2 / current: SPHK2,Interpretation priority 2,SPHK2
13,cg07156249,102.1169951971038,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,8.562938906323175e-41,40.0673771545116,0.14689639820689915,58.6033762210862,9.790698210009351,advanced_vs_nonadvanced,-0.14689639820689915,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.147, FDR=8.56e-41, I2=9.8 | disease_vs_healthy: -0.104, FDR=2.66e-05, I2=81.0 | fibrosis_vs_nonfibrosis: -0.112, FDR=1.88e-02, I2=70.0 | progression_score: -0.075, FDR=3.53e-07, I2=73.6",disease_group_4_no_healthy_obese,disease_group_4_no_healthy_obese_cpg_only_loso,stage_all5,5,TRUE,0.16174758620750845,FALSE,0.38963129721511447,0.21453526016878807,0.2862374033351289,2,high_heterogeneity,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,PSMB9;PSMB9;TAP1,PSMB9;PSMB9;TAP1,PSMB9;TAP1,ABC17;ABCB2;APT1;beta1i;D6S114E;LMP2;MHC1D1;PRAAS3;PRAAS6;PSF-1;PSF1;PSMB6i;PSMB9;RING12;RING4;TAP1;TAP1*0102N;TAP1N,org.Hs.eg.db:SYMBOL,chr6,32822911,32822911,+,Body;Body;TSS1500,Body;Body;TSS1500,NM_002800;NM_148954;NM_000593,S_Shore,chr6:32820849-32822370,NA,NA,NA,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=NA; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,No direct human MASLD evidence identified for this CpG; disease-specific evidence is experimental for TAP1.,No direct human liver-fibrosis evidence identified.,Yes for TAP1 — Tap1-deficient mice were protected from fructose-induced NAFLD/steatosis and insulin resistance.,No direct fibrosis-focused TAP1 study identified.,Indirect through hepatic immune/CD8-cell effects in fructose-induced fatty liver.,"Probe maps to PSMB9 gene body and TAP1 TSS1500. The direct NAFLD evidence pertains to TAP1, not PSMB9, and no methylation-to-expression relationship has been demonstrated.",https://pubmed.ncbi.nlm.nih.gov/23488792/,NA,NA,"The probe's TAP1 annotation provides direct experimental NAFLD context: Tap1 deficiency prevented fructose-induced steatosis and insulin resistance in mice. The result should not be generalized to PSMB9, despite the dual annotation.",5,TRUE,"Selected because it has direct probe-to-TAP1 annotation and experimental NAFLD evidence, in addition to statistical rank 13.",PSMB9;PSMB9;TAP1 / current: PSMB9;TAP1,Interpretation priority 5,PSMB9/TAP1
14,cg02033582,101.39311245598287,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,1.7815010724437968e-29,28.74921391187245,0.1523885878701629,34.626745646556564,0,advanced_vs_nonadvanced,-0.12014445616688114,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.120, FDR=1.78e-29, I2=0.0 | disease_vs_healthy: -0.152, FDR=5.29e-15, I2=48.1 | fibrosis_vs_nonfibrosis: -0.119, FDR=1.52e-27, I2=0.0 | progression_score: -0.114, FDR=2.47e-04, I2=90.4",binary_healthy_vs_disease_no_healthy_obese;disease_group_3;disease_group_3_no_healthy_obese;disease_group_4;disease_group_4_no_healthy_obese;disease_group_5_obesity_split,binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso;disease_group_3_cpg_only_loso;disease_group_3_no_healthy_obese_cpg_only_loso;disease_group_4_cpg_only_loso;disease_group_4_no_healthy_obese_cpg_only_loso;disease_group_5_obesity_split_cpg_only_loso,stage_and_binary_all5,6,TRUE,0.6649875567003355,FALSE,0.42605972085195304,0.3068902095729439,0.1971671702946296,5,none,FALSE,tier1_consistent_low_dataset_signal,TRUE,1,NA,NA,NA,NA,NA,chr17,29394814,29394814,-,NA,NA,NA,OpenSea,NA,NA,NA,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,LOC646030,646030,ENST00000581652.1_10,chr17,29386139,-,8674,upstream,U,No convincing MASLD evidence identified for the locus or nearest LOC646030.,No convincing liver-fibrosis evidence identified.,No direct MASLD evidence identified.,No direct fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic enhancer/DHS ~8.7 kb from an uncharacterized LOC transcript; no functional mapping evidence identified.,NA,NA,NA,Strict-subset candidate with strong statistics but currently unresolved biology.,NA,FALSE,Not selected because no reliable disease-relevant gene assignment or mechanistic context was identified.,intergenic/no-gene; near LOC646030,NA,intergenic/no-gene
15,cg18680181,101.08594546783748,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,2.537356381324136e-29,28.595618530187537,0.13349822703205114,38.61975006587561,0.33419878202734654,advanced_vs_nonadvanced,-0.11797932090530648,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.118, FDR=2.54e-29, I2=0.3 | disease_vs_healthy: -0.133, FDR=2.06e-12, I2=46.4 | fibrosis_vs_nonfibrosis: -0.105, FDR=1.45e-05, I2=21.7 | progression_score: -0.089, FDR=9.41e-04, I2=86.0",binary_healthy_vs_disease;binary_healthy_vs_disease_no_healthy_obese;disease_group_3;disease_group_3_no_healthy_obese;disease_group_4;disease_group_4_no_healthy_obese;disease_group_5_obesity_split,binary_healthy_vs_disease_cpg_only_loso;binary_healthy_vs_disease_no_healthy_obese_cpg_only_loso;disease_group_3_cpg_only_loso;disease_group_3_no_healthy_obese_cpg_only_loso;disease_group_4_cpg_only_loso;disease_group_4_no_healthy_obese_cpg_only_loso;disease_group_5_obesity_split_cpg_only_loso,stage_and_binary_all5,6,TRUE,0.7344828648348208,FALSE,0.3265174492924324,0.21983542646052096,0.1933659033253312,5,none,FALSE,tier1_consistent_low_dataset_signal,TRUE,1,KIAA0391,KIAA0391,PRORP,COXPD54;KIAA0391;MRPP3;PRORP,org.Hs.eg.db:ALIAS,chr14,35629311,35629311,-,Body,Body,NM_014672,OpenSea,NA,14:35629131-35629455,Unclassified_Cell_type_specific,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=Unclassified_Cell_type_specific; Regulatory_Feature_Name=14:35629131-35629455; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,No direct PRORP/MRPP3 human MASLD evidence identified.,No direct human liver-fibrosis evidence identified.,No direct MASLD model identified.,No direct liver-fibrosis model identified.,Indirect — PRORP is an essential mitochondrial RNase P subunit required for mitochondrial tRNA processing and mitochondrial gene expression.,Direct PRORP gene-body annotation. Mitochondrial relevance is general and should not be treated as liver/MASLD-specific evidence.,https://pubmed.ncbi.nlm.nih.gov/34715011/,NA,NA,"PRORP (formerly KIAA0391/MRPP3) has a well-established mitochondrial RNA-processing function, but targeted literature review did not identify direct MASLD or liver-fibrosis evidence. Its biological plausibility is therefore broad rather than disease-specific.",NA,FALSE,"Not selected for the interpretation panel because disease-specific biological evidence was weaker than for other directly annotated candidates, despite strict-subset status and statistical rank 15.",KIAA0391 / current: PRORP,NA,PRORP
16,cg10732871,100.09324588428052,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,3.522297921022463e-43,42.453173913563475,0.1873733638256028,62.479517104278,21.646552112662548,advanced_vs_nonadvanced,-0.1873733638256028,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.187, FDR=3.52e-43, I2=21.6 | disease_vs_healthy: -0.146, FDR=3.16e-09, I2=71.2 | fibrosis_vs_nonfibrosis: -0.131, FDR=3.79e-02, I2=78.6 | progression_score: -0.099, FDR=5.69e-08, I2=78.5",disease_group_5_obesity_split,disease_group_5_obesity_split_cpg_only_loso,stable_secondary,4,FALSE,0.2962370529812051,FALSE,0.3935854094432451,0.14654331951601343,0.35562300451981776,1,high_heterogeneity,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,GPX4;GPX4,GPX4;GPX4,GPX4,GPx-4;GPX4;GSHPx-4;MCSP;PHGPx;SMDS;snGPx;snPHGPx,org.Hs.eg.db:SYMBOL,chr19,1102675,1102675,+,TSS1500;TSS1500,TSS1500;TSS1500,NM_002085;NM_001039847,N_Shore,chr19:1103722-1105758,19:1102583-1103017,Unclassified_Cell_type_specific,NA,TRUE,NA,NA,NA,Regulatory_Feature_Group=Unclassified_Cell_type_specific; Regulatory_Feature_Name=19:1102583-1103017; Enhancer=NA; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,Yes — human MAFLD/MASLD liver studies report ferroptosis activation and GPX4 dysregulation; biopsy-proven MASLD data also link low GPX4/ferroptosis signatures to disease subgroups.,"Human fibrosis-specific GPX4 causality is not established, although human MASLD studies include more advanced disease states.",Yes — multiple HFFD/MCD/CDAHFD and hepatocyte experiments directly manipulate GPX4/ferroptosis in fatty liver disease.,Yes — GPX4 isoform manipulation affected steatohepatitis/fibrosis in mouse MAFLD models; ferroptosis biology is cell- and isoform-dependent.,Yes — central regulator of glutathione-dependent lipid-peroxide detoxification and ferroptosis.,"Direct GPX4 TSS1500 annotation. Disease evidence is strong at gene/pathway level, but cg10732871 methylation has not been shown to regulate GPX4 expression. GPX4 effects are context/isoform/cell-type dependent.",https://pubmed.ncbi.nlm.nih.gov/36176906/,https://pubmed.ncbi.nlm.nih.gov/39060422/,NA,"GPX4 remains one of the most biologically interpretable candidates because it directly connects the methylation signal to ferroptosis and lipid-peroxidation biology in human and experimental MASLD. Mechanistic direction should be described carefully because canonical and inducible GPX4 isoforms, and different liver cell types, can have different effects.",3,TRUE,"Selected because of direct gene annotation and strong human plus experimental MASLD evidence for GPX4/ferroptosis, despite statistical rank 16 and moderate heterogeneity across contrasts.",GPX4;GPX4 / current: GPX4,Interpretation priority 3,GPX4
17,cg20303075,99.34459120619302,4,3,1,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,1.077321028249925e-40,39.96765486306917,0.1284622973762704,52.655343959107995,0,advanced_vs_nonadvanced,-0.1284622973762704,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.128, FDR=1.08e-40, I2=0.0 | disease_vs_healthy: -0.098, FDR=2.38e-06, I2=66.3 | fibrosis_vs_nonfibrosis: -0.088, FDR=8.46e-02, I2=70.7 | progression_score: -0.067, FDR=2.83e-05, I2=73.7",disease_group_3;disease_group_4;disease_group_4_no_healthy_obese;disease_group_5_obesity_split,disease_group_3_cpg_only_loso;disease_group_4_cpg_only_loso;disease_group_4_no_healthy_obese_cpg_only_loso;disease_group_5_obesity_split_cpg_only_loso,stage_replicated_all5,5,TRUE,0.5081005365386838,FALSE,0.3708854192782847,0.2564666392318511,0.1900530747539144,3,high_heterogeneity,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,NA,NA,NA,NA,NA,chr8,80804323,80804323,+,NA,NA,NA,Island,chr8:80803688-80804324,NA,NA,NA,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=NA; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,LOC101927040,101927040,ENST00000777913.1_1,chr8,80784019,-,20303,upstream,U,No convincing MASLD evidence identified for the locus or nearest LOC101927040.,No convincing liver-fibrosis evidence identified.,No direct MASLD evidence identified.,No direct fibrosis evidence identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic CpG-island locus ~20.3 kb from an uncharacterized LOC transcript; no functional mapping evidence identified.,NA,NA,NA,Strong statistical candidate but biologically unresolved.,NA,FALSE,Not selected because no disease-relevant gene or regulatory assignment was established.,intergenic/no-gene; near LOC101927040,NA,intergenic/no-gene
18,cg26027052,98.13613976800411,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,6.764803215826755e-40,39.169744832255354,0.14769842857449386,55.65363229149255,9.415016426242955,disease_vs_healthy,-0.1439865778731744,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.148, FDR=1.00e-07, I2=59.6 | disease_vs_healthy: -0.144, FDR=6.76e-40, I2=9.4 | fibrosis_vs_nonfibrosis: -0.130, FDR=2.03e-03, I2=62.1 | progression_score: -0.104, FDR=2.96e-04, I2=91.5",disease_group_3_no_healthy_obese,disease_group_3_no_healthy_obese_cpg_only_loso,stable_secondary,4,FALSE,0.435955811101154,FALSE,0.3143759165410431,0.14559276070179494,0.2619665353528448,1,high_heterogeneity,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,NA,NA,NA,NA,NA,chr6,36821364,36821364,-,NA,NA,NA,OpenSea,NA,NA,NA,TRUE,NA,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=NA; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,PPIL1,51645,ENST00000483552.1_3,chr6,36826411,-,5046,downstream,U,No CpG-specific or PPIL1-specific MASLD evidence identified.,No PPIL1-specific liver-fibrosis evidence identified.,No direct MASLD model identified.,No direct fibrosis model identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic enhancer ~5.0 kb from PPIL1. PPIL1 literature found in liver cancer is not evidence for MASLD/fibrosis and does not establish regulation by this CpG.,NA,NA,NA,The nearest-gene context is dominated by HCC studies and is insufficient for MASLD interpretation.,NA,FALSE,Not selected because the locus-to-PPIL1 relationship is unvalidated and available liver evidence is cancer-specific rather than MASLD/fibrosis-specific.,intergenic/no-gene; near PPIL1,NA,intergenic/no-gene
19,cg00225623,97.94170850037204,4,3,1,0,3,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,8.55689230511968e-51,50.06768393389672,0.17478478016110924,51.16582999255913,0,fibrosis_vs_nonfibrosis,-0.1521123309987829,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.175, FDR=1.45e-14, I2=44.7 | disease_vs_healthy: -0.099, FDR=2.90e-03, I2=79.0 | fibrosis_vs_nonfibrosis: -0.152, FDR=8.56e-51, I2=0.0 | progression_score: -0.088, FDR=2.13e-04, I2=81.0",disease_group_3;disease_group_5_obesity_split,disease_group_3_cpg_only_loso;disease_group_5_obesity_split_cpg_only_loso,stable_secondary,4,FALSE,0.6530958826440758,FALSE,0.29761193549969284,0.17322603837447434,0.25046547318531287,1,high_heterogeneity,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,SPATA13;SPATA13,SPATA13;SPATA13,SPATA13,ARHGEF29;ASEF2;SPATA13,org.Hs.eg.db:SYMBOL,chr13,24845891,24845891,-,Body;Body,Body;Body,NM_001166271;NM_153023,OpenSea,NA,13:24845791-24846428,Promoter_Associated,TRUE,TRUE,RDMR,NA,NA,Regulatory_Feature_Group=Promoter_Associated; Regulatory_Feature_Name=13:24845791-24846428; Enhancer=TRUE; DHS=TRUE; DMR=RDMR,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,No direct human MASLD evidence identified.,No direct human liver-fibrosis evidence identified.,No direct MASLD model identified.,No hepatic fibrosis model identified; SPATA13 has a mechanistic fibroblast/TGF-beta role in a non-hepatic fibrosis model.,No specific hepatic-metabolism evidence identified.,"Direct SPATA13 gene-body annotation. Available biology concerns RhoGEF-dependent migration and non-hepatic fibroblast activation, not liver disease.",https://pubmed.ncbi.nlm.nih.gov/19151759/,https://pubmed.ncbi.nlm.nih.gov/42261590/,NA,SPATA13/ASEF2 regulates cytoskeletal organization and cell migration and has recent evidence in TGF-beta-dependent fibroblast activation outside the liver. This offers broad remodeling plausibility but no direct MASLD or hepatic-fibrosis support.,NA,FALSE,Not selected because evidence remains indirect and non-hepatic.,SPATA13;SPATA13 / current: SPATA13,NA,SPATA13
20,cg09072216,96.73241410092427,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,6.0146470304549914e-37,36.22078985414685,0.140762091980567,42.44277593957035,0,advanced_vs_nonadvanced,-0.140762091980567,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.141, FDR=6.01e-37, I2=0.0 | disease_vs_healthy: -0.115, FDR=4.98e-11, I2=48.8 | fibrosis_vs_nonfibrosis: -0.118, FDR=3.71e-03, I2=52.6 | progression_score: -0.077, FDR=2.29e-06, I2=68.3",disease_group_3;disease_group_4,disease_group_3_cpg_only_loso;disease_group_4_cpg_only_loso,stable_secondary,6,FALSE,0.2744344892685374,FALSE,0.2552218871460468,0.1381807570229424,0.20710772247246367,1,none,TRUE,tier1_consistent_low_dataset_signal,FALSE,1,SPG20;SPG20;SPG20;SPG20,SPG20;SPG20;SPG20;SPG20,SPART,SPART;SPG20;TAHCCP1,org.Hs.eg.db:ALIAS,chr13,36919344,36919344,-,5'UTR;5'UTR;5'UTR;5'UTR,5'UTR;5'UTR;5'UTR;5'UTR,NM_001142296;NM_001142294;NM_015087;NM_001142295,N_Shore,chr13:36919737-36921004,NA,NA,NA,NA,CDMR,13:35817334-35817410,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=NA; DHS=NA; DMR=CDMR,450K_hg19,TRUE,TRUE,rs9547375,0.306746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,No direct human MASLD association for SPART identified.,No direct human liver-fibrosis evidence identified.,No direct MASLD model identified.,No direct liver-fibrosis model identified.,Yes — SPART/spartin is a lipid-droplet lipophagy receptor required for lysosomal delivery and triglyceride mobilization and also has lipid-transfer activity in lipid-droplet turnover.,Direct 5'UTR annotation to SPART (formerly SPG20). Mechanistic evidence is strong for lipid-droplet biology but not liver/MASLD-specific.,https://pubmed.ncbi.nlm.nih.gov/37443287/,https://pubmed.ncbi.nlm.nih.gov/38190532/,NA,"SPART provides a coherent mechanistic link to lipid-droplet turnover and lipophagy, processes central to hepatic steatosis, but current evidence is not liver-specific. It should therefore be framed as mechanistic plausibility rather than an established MASLD gene.",11,TRUE,"Selected because direct gene annotation and strong lipid-droplet/lipophagy biology provide a plausible mechanistic bridge to steatosis, alongside statistical rank 20.",SPG20;SPG20;SPG20;SPG20 / current: SPART,Interpretation priority 11,SPART
21,cg25305879,96.627813305566,4,4,0,0,4,6,Ahrens;Horvath;Johnson;ITEN;Murphy;VanDijck,5.09629895402733e-28,27.29274510377391,0.09654719603603844,29.542165341514888,0,disease_vs_healthy,-0.08683187512064211,lower methylation in case/higher stage,"advanced_vs_nonadvanced: -0.097, FDR=3.37e-07, I2=31.0 | disease_vs_healthy: -0.087, FDR=5.10e-28, I2=0.0 | fibrosis_vs_nonfibrosis: -0.078, FDR=1.81e-14, I2=0.0 | progression_score: -0.074, FDR=2.00e-04, I2=87.2",disease_group_3_no_healthy_obese;disease_group_4_no_healthy_obese,disease_group_3_no_healthy_obese_cpg_only_loso;disease_group_4_no_healthy_obese_cpg_only_loso,stage_replicated_all5,5,TRUE,0.2788307376375865,FALSE,0.39157329729356966,0.3280171057571276,0.13619720470314672,3,none,FALSE,tier1_consistent_low_dataset_signal,FALSE,1,NA,NA,NA,NA,NA,chr2,106814630,106814630,-,NA,NA,NA,S_Shelf,chr2:106809942-106811175,NA,NA,TRUE,TRUE,NA,NA,NA,Regulatory_Feature_Group=NA; Regulatory_Feature_Name=NA; Enhancer=TRUE; DHS=TRUE; DMR=NA,450K_hg19,TRUE,TRUE,NA,NA,NA,NA,NA,NA,UXS1,80146,ENST00000283148.12_8,chr2,106810757,-,3872,upstream,U,No CpG- or UXS1-specific MASLD evidence identified.,No convincing UXS1-specific liver-fibrosis evidence identified.,No direct MASLD model identified.,No direct fibrosis model identified.,No convincing hepatic-metabolism evidence assigned.,Intergenic enhancer/DHS ~3.9 kb from UXS1; no evidence links the CpG to UXS1 regulation. Cancer/ferroptosis reports for UXS1 are not sufficient MASLD evidence.,NA,NA,NA,Biologically unresolved in the MASLD/fibrosis context.,NA,FALSE,Not selected because nearest-gene evidence was not disease-specific and the CpG-to-gene link is unvalidated.,intergenic/no-gene; near UXS1,NA,intergenic/no-gene
